judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
"PENGARUH EARNING PER SHARE, NET PROFIT MARGIN, DEBT TO ASSET RATIO DAN RETURN ON EQUITY TERHADAP HARGA SAHAM PADA PERUSAHAAN OTOMOTIF & KOMPONENNYA YANG TERDAFTAR DI BEI PERIODE 2007-2011
",Penulis : DEVI KURNIAWATI,"Dosen Pembimbing I : R. Gatot Heru Pranjoto, S.E., MM	","Dosen Pembimbing II :Prasetyo Nugroho, S.pi., MM","Devi Kurniawati, Pengaruh Earning Per Share, Net Profit Margin, Debt to Asset Ratio dan Return On equity Terhadap Harga Saham Pada Perusahaan Otomotif & Komponennya Yang Terdaftar Di BEI Periode 2007-2011. Dibawah bimbingan R. Gatot Heru Prajoto, S.E., MM dan Prasetyo Nugroho, S.pi., MM.
	Tujuan penelitian ini adalah untuk mengetahui adanya pengaruh Earning Per Share, Net Profit Margin ,Debt to Asset Ratio dan Return On Equity baik secara simultan maupun secara parsial terhadap harga saham di perusahaan otomotif & komponennya yang terdaftar di BEI periode 2007-2011.
Pendekatan penelitian yang digunakan dalam penelitian ini adalah kuantitatif. Metode pengambilan sampel yang digunakan adalah purposive sampling dan diperoleh sampel sebanyak 7 perusahaan. Untuk pengujian instrumen menggunakan uji Asumsi Klasik,  sedangkan teknik analisis data yang digunakan untuk menguji hipotesis adalah menggunakan regresi linier berganda dengan memakai uji F, uji t.
Berdasarkan hasil penelitian menunjukkan bahwa nilai R Square sebesar 0,741 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 74,1%, sedangkan sisanya 25,9% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F variabel earning per share, net profit margin, debt to asset ratio dan return on equity secara simultan berpengaruh signifikan terhadap harga saham. Berdasarkan uji t diketahui bahwa secara parsial variabel earning per share dan return on equity berpengaruh positif dan signifikan terhadap harga saham, sedangkan  net profit margin dan  debt to asset ratio dan berpengaruh negatif dan signifikan terhadap harga saham. 
","Devi Kurniawati, The Influence of Earning Per Share, Net Profit Margin, Debt to Asset Ratio and Return On Equity to the Stock Price of Automotive Companies and their Components Listed in Indonesia Stock Exchange in 2007- 2011. Advisors (I) R. Gatot Heru Prajoto, S.E., MM (II) Prasetyo Nugroho, S.Pi., MM.
The purpose of this study is to find out the influence, either simultaneously or partially, of Earning per Share, Net Profit Margin, Debt to Asset Ratio and Return on Equity to the stock price of automotive companies and their components that are listed in the Indonesia Stock Exchange during 2007 until 2011.
The study applies quantitative methods. The samples are taken purposively as many as 7 companies. The instruments are tested by using Classical Assumption test, while the data is analyzed by using multiple linear regressions with the F-test and T-test.
The results show that the value of R Square is 0.741. It means the influence of independent variables to the dependent variable is 74.1%, while the remaining value of R Square is 25.9%. It means that the dependent variables are influenced by other variable that is not examined in this study. Based on the F-test, the variable of earnings per share, net profit margin, debt to asset ratio and return on equity simultaneously effects the stock prices in significant. The T-test shows that, partially, the variables of earnings per share and return on equity has a significant and positive effect on stock prices, while the net profit margin and debt-to-assets ratio has a negative and significant effect on stock prices.



"
PENGARUH PENGELOLAAN SUMBER DAYA MANUSIA TERHADAP KOMITMEN KARYAWAN PERUM PERHUTANI BKPH JATIREJO MOJOKERTO,Penulis : VENDY DWI ARI ISMAIL,"Dosen Pembimbing I : Dr. Hj. Iriani Ismail, Dra.,MM.","Dosen Pembimbing II :Drs. Ec. Mudji Kuswinarno, M.Si.","Vendy Dwi Ari Ismail, Pengaruh Pengelolaan Sumber Daya Manusia terhadap Komitmen Karyawan Perum Perhutani BKPH Jatirejo Mojokerto. Di bawah bimbingan Dr. Hj. Iriani Ismail, Dra.,MM dan Drs. Ec. Mudji Kuswinarno, M,Si.
Komitmen Karyawan berkaitan dengan tingkat kemajuan perusahaan. Apabila karyawan tidak mendapatkan pengelolaan sumber daya manusia dengan baik, maka kemajuan perusahaan tidak dapat berkembang. Hipotesis dari penelitian ini adalah diduga dari variabel dari Pengelolaan Sumber Daya Manusia yaitu berupa Perencanaan (X1), Pengorganisasian (X2), Pengarahan (X3) serta Pengendalian (X4) berpengaruh terhadap Komitmen Karyawan, serta pengarahan sebagai variabel yang paling dominan. Tujuan penelitian ini adalah meneliti pengaruh pengelolaan sumber daya manusia terhadap komitmen karyawan. Serta meneliti apakah variabel pengarahan berpengaruh dominan.
Berdasarkan Hasil analisis koefisien determinasi berganda (R2) atau R Squarese besar 0,544, hal ini menunjukkan bahwa variabel yang terdiri dari Perencanaan, pengorganisasian, pengarahan serta pengendalian memiliki pengaruh positif terhadap pengembangan karir karyawan sebesar 54,4%. Sedangkan sisanya sebesar dipengaruhi oleh variabel lain yang tidak dimasukkan dalam model penelitian ini. Dari 4 (Empat) variabel tersebut, pengrahan merupakan variabel yang memiliki pengaruh dominan terhadap komitmen karyawan dilihat dari nilai beta sebesar 0,346.


Kata kunci: Pengelolaan Sumber Daya Manusia, Komitmen Karyawan.







","ABSTRACT
Vendy Dwi Ari Ismail, The Influence of Human Resource Management on Employee’s Commitment of Perum Perhutani BKPH Jatirejo Mojokerto. Advisor I: Dr. Hj. Iriani Ismail, Dra.,MM. Advisor II: Drs. Ec. Mudji Kuswinarno, M,Si.

Employee’s commitment has a close relation with the company’s progress. When employees are out of good human resource management, the company progress will not develop. The research hypothesis is the assumption of Human Resource Management namely Planning (X1), Organizing (X2), Directing (X3) and Controlling (X4) influences the Employees’ commitment and also determining whether the directing is the dominant variable. The purpose of the study is to examine the influence of human resource management on employees’ commitment and also determine whether directing is the most dominant variable. 

Based on the analysis result of Multiple Determination Coefficient (R2) or R Squarese of 0,544, means that variables consisting of Planning, Organizing, Directing and Controlling has positive influence on employees’ career development for 54,4%. Meanwhile, the rest percentage is influenced by another variable outside this study model. Taken from the 4 variables, directing becomes the most dominant influence variable on employees’ commitment seeing on the beta value of 0,346.
Keywords: Human Resource Management, Employees’ commitment.

"
,,,,,
,,,,,
,,,,,
pengaruh gaya kepemimpinan terhadap kinertja di kantor kecamatan pegantenan kabupaten pamekasan,Penulis : moh nasirudin,"Dosen Pembimbing I : Drs.Ec. Mudji Kuswinarno, M.Si","Dosen Pembimbing II :Helmi Buyung Aulia S,ST.,SE.,MMT","Moh Nasirudin 100211100027. Pengaruh Gaya Kepemimpinan Terhadap Kinerja Pegawai Di Kantor Kecamatan Pegantenan. Dibimbing Drs.Ec. Mudji Kuswinarno dan Helmi Buyung Aulia S,ST.,SE.,MMT
Tujuan penelitian ini adalah untuk mengetahui pengaruh gaya kepemimpinan otoriter, demokratis, bebas terhadap kinerja pegawai di kantor kecamatan pegantenan. Populasi penelitian ini berjumlah 30 responden. Uji kuisioner yang digunakan adalah Uji validitas dan Uji reliabilitas , Uji t dan Uji koefisien determinasi.
Hasil penelitian menyatakan berdasarkan  t variabel otoriter (X1)menpunyai pengaruh negative terhadap kinerja pegawai, variabel demokratis (X2)mempunyai mempunyai pengaruh positif terhadap kinerja pegawai, sedangkan variabel bebas (X3) tidak berpengaruh terhadap kinerja pegawai. Variabel demokratis (X2) mempunyai pengaruh yang dominan terhadap kinerja pegawai di kantor kecamatan pegantenan.
Kata kunci : gaya kepemimpinan otoriter, demokratis, bebas, kinerja.
","Moh Nasirudin 100211100027. The Influence of Leadership Style on Employees’ Performance in Pegantenan District Office. Advisor (I) Drs.Ec. Mudji Kuswinarno,(II) Helmi Buyung Aulia S,ST.,SE.,MMT
The purpose of the study is to determine the leadership style of authoritorian, democratic and liberal on employees’ performance in pegantenan district office. The population of the study are 30 respondents. Questionnaire test used is reliability and validity test, t test and determinant coefficient test.
Result of study show that based on t authoritorian variable (X1), it has negative influence on employees’ performance, democratic variable (X2) has a positive influence on employees’ performance, while the liberal variable (X3) does not have any influence on employees’ performance. Democratic (X2) is the dominant variable that has most influence on employees’ performance in pegantenan district office.
Keywords: leadership style of authoritarian, democratic, liberal, performance.
"
,,,,,
"PENGARUH MARKETING MIX TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN (Studi Pada Sentra ""Mutiara Batik"" Pamekasan)",Penulis : DEVI KAMALIA,"Dosen Pembimbing I : Drs. MOHAMMAD TAMBRIN, MM.","Dosen Pembimbing II :YUSTINA CHRISMARDANI, S.Si., MM.","Abstrak

Devi Kamalia, Pengaruh Marketing Mix Terhadap Keputusan Pembelian (Studi Pada Sentra “Mutira Batik” Pamekasan), dibawah bimbingan Mohamad Tambrin, dan Yustina Crismardani.
	
Tujuan dari  penelitian ini untuk mengetahui variabel-variabel dalam marketing mix  yang meliputi produk, harga, promosi, dan distribusi, seberapa besar marketing mix : produk, harga, promosi, dan distribusi menurut persepsi konsumen. Dan lokasi dalam penelitiannya dilaksanakan di Kabupaten Pamekasan yang merupakan konsumen di Mutiara batik. Penelitian ini merupakan penelitian kuantitatif dengan pendekatan survey jumlah sampel 50 konsumen. Pada penelitian ini variabel bebasnya terdiri dari produk, harga, promosi, dan distribusi. Sedangkan variabel terikatnya adalah keputusan pembelian konsumen. Metode penelitian sampel yang digunakan adalah non probability sampling . untuk pengujian instrumen menggunakan uji Validitas, Realibilitas dan uji Asumsi Klasik. Sedangkan metode analisi data yang digunakan untuk men guji hipotesis adalah menggunakan regresi linier berganda dengan menggunakan uji F dan uji T. Hasil penelitian menunjukkan bahwa varabel nilai adjusted R Squere sebesar Angka Adjusted R Square menunjukkan bahwa 20% variasi keputusan pembelian dapat dijelaskan oleh ke empat variabel independen dalam persamaan regresi linier berganda. Sedangkan sisanya sebesar 80% dijelaskan oleh variabel lain diluar keempat variabel yang digunakan dalam penelitian ini. Berdasarkan uji F variabel Marketing mix  yang terdiri dari produk (x1), harga (x2), promosi (x3) dan distribusi (x4) secara simultan berpengaruh signifikan  terhadap keputusan pembelian pada masyarakat Kabupaten Pamekasan. Berdasrkan uji t diketahui bahwa hanya variabel produk (x1) yang berpengaruh terhadap keputusan pembelian, sedangkan variabel harga (x2), promosi (x3), dan distribusi (x4) tidak berpengaruh terhadap keputusan pembelian.

Kata kunci : Marketing mix dan Keputusan Pembelian","Abstract

Devi Kamalia, Influence Marketing Mix Against Purchase Decision (Study in Mutiara sentra Batik Pamekasan), under the guidance of Muhamad Tambrin, and Yustina Crismardani.

The purpose of this study was to determine the variables in marketing mix which consist of : produk, price, promotion, and distribution based on customer perseption. This research study took place in Mutiara Batik Pamekasan.
This research applied quantitative method. The samples were taken purposively as many as 50 consumers . In this study,the independent variable consists of product, price, promotion and distribution . Meanwhile the isolated variabel is the consumer buying decision. The research sample for this approach was non probability sampling method. Validity, reliability and classic Assumtion tests were still belived as research instruments test. On the other hand, double linier regression with F -test and t-test are used in data analysis process. The researh study has yielded that the value of Adjusted R-Squere is 20% of buying of buying decision can be explened by four of independen variables with in double linier regression for the rest 80% of it. May explain by others variable however, based on F-test for “Marketing Mix” (product, price, promotion, and distribution) were simultaneous significanty affected with the buying decision of people in Pamekasan municipality. In the end, based on t-test has showed that “produk” variabel were affected with the buying decision, whereas price, promotion and ditribution variables were not affected to the buying decision.

Keywords : Marketing Mix, Buying Decision"
Pengaruh Konflik Terhadap Kepuasan Kerja Karyawan Asuransi Jiwa Bersama Bumiputera 1912 Cabang Pamekasan,Penulis : Zumrotul Furqoni,Dosen Pembimbing I : Iriani Ismail,Dosen Pembimbing II :Helmi Buyung Aulia Safrizal,"Penelitian ini menganalisis pengaruh konflik terhadap kepuasan kerja karyawan AJB Bumiputera 1912 cabang Pamekasan. Hipotesis dari penelitian ini adalah diduga konflik fungsional (X1) dan konflik disfungsional (X2) berpengaruh terhadap kepuasan, serta konflik fungsional sebagai variabel dominan. Tujuan penelitian ini adlah meneliti pengaruh konflik fungsional dan konflik disfungsional. Serta meneliti apakah variabel konflik fungsional berpengaruh dominan.
Berdasarkan analisis menggunakan alat uji regresi linier berganda maka didapatkan hasil, konflik fungsional berpengaruh terhadap kepuasan sebesar 52,1% konflik disfungsional berpengaruh terhadap kepuasan 2,9% hasil Adjusted R Square sebesar 0,460 menunjukkan persentase pengaruh konflik fungsional dan konflik disfungsional terhadap kepuasan kerja karyawan sebesar 46% sedangkan 54% dipengaruhi oleh variabel lain yang tidak dimasukkan dalam model penelitian ini. Dari hasil ini konflik fungsional berpengaruh dominan sebesar 46% karena konflik fungsional dapat membangun perusahaan lebih maju dan berkembang.
Kata kunci: konflik. Kepuasan  ","This study analyzes the effect of the conflict on employee job satisfaction AJB Bumiputera 1912 Pamekasan branch. The hypothesis of this study is thought to functional conflict (X1) and dysfunctional conflict (X2) effect on satisfaction, as well as functional conflict as the dominant variable. The purpose of this study examined the influence of conflict adlah functional and dysfunctional conflict. As well as examining whether functional conflict variable dominant influence.

Based on analysis using a multiple linear regression test results are obtained, functional conflict effect on satisfaction of 52.1% dysfunctional conflict affects 2.9% results satisfaction coefficient Adjusted R Square of 0.460 indicates the percentage of the effect of functional conflict and dysfunctional conflict on satisfaction employee by 46%, while 54% is influenced by other variables not included in this research model. From these results conflict functionally dominant effect of 46% for the functional conflict can build more advanced and growing company.

Keywords: conflict. Satisfaction"
PERANAN MANAJEMEN PIUTANG TERTAHADAP RENTABILITAS ANTARA KOPERASI BERBASIS SYARIAH DENGAN KOPERASI BERBASIS KONVENSIONAL,Penulis : MUZANNI,"Dosen Pembimbing I : HJ. EVALIATI AMANIYAH, SE, MSM.","Dosen Pembimbing II :PURNAMAWATI, SE, M.Si.","Muzanni, Peranan Manajemen Piutang tertahadap Rentabilitas antara Koperasi Berbasis Syariah dengan Koperasi Berbasis Konvensional (Studi Pada Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan dan KPRI Kopergu Bangkalan). di bawah bimbingan Hj. Evaliati Amaniyah, SE., MSM dan Purnamawati, SE, M.Si.

Lembaga keuangan memperoleh pendapatan dari pinjaman atau pendanaan yang diberikan kepada nasabah atau anggota dan secara otomatis menjadi piutang. Semakin tinggi modal yang tertanam dalam piutang maka semakin tinggi pula potensi keuntungan yang akan diperoleh. Sebaliknya, semakin kecil modal yang tertanam pada piutang, maka semakin kecil pula potensi keuntungan yang akan didapatkan. Besarnya piutang serta adanya penerapan manajemen piutang yang baik akan berpengaruh terhadap rentabilitas lembaga tersebut. 
Tujuan penelitian ini untuk mengetahui peranan pengelolaan piutang terhadap rentabilitas yang diterapkan oleh Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan dan KPRI Kopergu Bangkalan.
Penelitian ini dilakukan dengan menggunakan pendekatan deskriptif dan alat analisis yang digunakan berupa rasio-rasio yang terdiri dari rasio aktivitas dan rasio rentabilitas.
Kesimpulan penelitian studi ini adalah 1) manajemen piutang Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan memiliki kriterian cukup efisien, sedangkan pada KPRI Kopergu Bangkalan efisien akan tetapi antara kedua koperasi ini tidak memiliki tingkat pertumbuhan yang signifikan. 2) Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan memiliki tingkat perputaran piutang lebih tinggi dan periode pengumpulan lebih cepat dari pada KPRI Kopergu Bangkalan. 3) secara global rasio rentabilitas ekonomi Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan berada pada kategori cukup efisien, sedangkan pada KPRI Kopergu Bangkalan berada pada kategori efisien. Untuk perkembangan rentabilitas pada tahun terakhir (tahun 2012) antara kedua lembaga tersebut berada pada kategori cukup efisien. 4) perkembangan rasio rentabilitas modal sendiri yang dimiliki oleh Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan mengalami perkembangan meningkat, sedangkan pada KPRI Kopergu Bangkalan mengalami penurunan.   

Kata kunci:  manajemen piutang, rentabilitas.
","Muzanni, The Role of Receivable Management on Profitability between Sharia-Based and Conventional-Based Cooperative (Study of Cooperative at BMT UGT Sidogiri cooperative Bangkalan Branch and KPRI Kopergu Bangkalan). Advisor (I) Hj. Evaliati Amaniyah, SE., MSM (II) Purnamawati, SE, M.Si.

Financial institutions earn income from loans or financing and provide them to customers or members automatically called receivable. The higher capital tied up in accounts receivable, the higher the potential profit gained. Conversely, the less capital tied up in accounts receivable, the less the potential benefits to be obtained. The amount of accounts receivable management and the implementation of good accounts receivable management will affect the profitability of the institution. 
The purpose of this study is to determine the role of accounts receivable management that has been applied by BMT UGT Sidogiri cooperative Bangkalan Branch and KPRI Kopergu Bangkalan.
Conclusions of this study are; 1) Receivable management of BMT UGT Sidogiri cooperative Bangkalan Branch belongs to quite efficient criteria, while in KPRI Kopergu Bangkalan is relatively efficient but no significant growth rate between these cooperative. 2) BMT UGT Sidogiri Cooperative Bangkalan Branch has higher turnover of receivable and faster fund collecting than KPRI Kopergu Bangkalan. 3) Overall, the economic profitability ratio of Cooperative of BMT UGT Sidogiri Bangkalan Branch is in the category of quite efficient, while at KPRI Kopergu Bangkalan is in the category of efficient. The growth of profitabillity in the last year (2012) indicates that the two institutional is in the quite efficient category. 4) The growth of capital profitability ratio that is owned by BMT UGT Sidogiri Bangkalan Branch increases significantly, while the KPRI Kopergu Bangkalan shows the opposite.   

Keywords: Receivable Management, Profitability.
"
judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
"Pengembangan Sumber Daya Manusia Dalam Rangka Meningkatkan Produktivitas Karyawan Pada
PT. Pos Indonesia (persero) Kantor Cabang Bangkalan
",Penulis : Ismie Novitasari Soekarno,"Dosen Pembimbing I : Dra. Hj. S. Anugrahini Irawati, MM","Dosen Pembimbing II :Faidal. S.E, MM","ABSTRAK
Penelitian ini bertujuan untuk meneliti apakah pendidikan dan pelatihan berpengaruh secara parsial dan secara simultan dalam rangka meningkatkan produktivitas karyawan, serta meniliti apakah variabel pendidikan berpengaruh dominan dalam meningkatkan produktivitas karyawan. untuk membuktikan hipotesis penelitian, alat analisis yang digunakan adalah regresi linier berganda dengan bantuan SPSS.
Hasil pengujian menunjukkan nilai Fhitung sebesar 10,542 dengan nilai signifikan Fhitung sebesar 0.000 (p<0.05) yang berarti ada pengaruh signifikan variabel pendidikan dan pelatihan secara bersama-sama dalam meningkatkan produktivitas karyawan pada PT. Pos Indonesia (persero) kantor Cabang Bangkalan. Koefisien determinasi berganda (R) atau R square sebesar 0,310 berarti secara bersama-sama 3,10% perubahan variabel produktivitas karyawan pada PT. Pos Indonesia (persero) Cabang Bangkalan disebabkan oleh variabel pendidikan dan pelatihan. Sedangkan sisanya 6,90% disebabkan oleh variabel lain yang tidak masuk dalam model ini. Dari hasil penelitian ini variabel pendidikan terbukti kebenarannya yang berpengaruh dominan dengan nilai beta sebesar 0,433.
","ABSTRACT
This study aimed to examine whether the effect of education and training partially and simultaneously in order to increase the productivity of employees, also to investigate whether the education variable dominant influences dominantly in increasing employee productivity. to prove the hypothesis of the study, an analysis tool used is multiple linear regression with SPSS. 
The test results demonstrate the value of Fcount 10.542 significantly value for 0000 (p <0.05), which means there is a significant effect of education and training variables together in improving the productivity of employees at PT. Pos Indonesia (Persero) Bangkalan branch office. The coefficient of multiple determination (R) or R square of 0.310 means collectively 3.10% movement in the variable productivity of employees at PT. Pos Indonesia (Persero) Branch Bangkalan is caused by the variable of education and training. While the remaining 6.90% are caused by other variables not included in the model. From the results of this research of course education variables can influence dominantly with beta value of 0.433.

Keywords: education, training, productivity.
"
"PENGARUH IKLAN ONLINE MELALUI MEDIA FACEBOOK TERHADAP KEPUTUSAN PEMBELIAN PAKAIAN 
(STUDI PADA MAHASISWA FAKULTAS EKONOMI DAN BISNIS UNIVERSITAS TRUNOJOYO MADURA)",Penulis : Hening Ari Putra,Dosen Pembimbing I : Bambang Setyo Pambudi,Dosen Pembimbing II :Suyono,"Abstrak

Hening Ary Putra, Pengaruh Iklan Online Melalui Media Facebook Terhadap Keputusan Pembelian Pakaian (Studi Pada Mahasiswa Fakultas Ekonomi Dan Bisnis Universitas Trunojoyo Madura). Pemimbing Bambang Setiyo Pambudi, S.E., MM., dan Suyono, S.E, M.S.M.
Tujuan penelitian ini adalah untuk mengidentifikasi variabel seperti sikap pada iklan online, daya ingat pada iklan online, dan frekuensi klik pada iklan online yang mempengaruhi Keputusan Pembelian Pakaian pada mahasiswa Fakultas Ekonomi Dan Bisnis Universitas Trunojoyo Madura baik secara simultan maupun parsial.
Hipotesis penelitian ini adalah: Faktor-faktor yang mempengaruhi Keputusan Pembelian Pakaian seperti sikap pada iklan online, daya ingat pada iklan online, dan frekuensi klik pada iklan online berpengaruh secara signifikan terhadap Keputusan Pembelian Pakaian baik secara simultan maupun parsial.
Penelitian ini dilakukan dengan metode kuantitatif dimana populasi dalam penelitian ini adalah mahasiswa Fakultas Ekonomi dan Bisnis Universitas Trunojoyo Madura dan diperoleh sampel sebanyak 40 responden yang diambil dengan menggunakan metode accidental sampling dengan cara menyebarkan kuesioner.
Kesimpulan dari penelitian ini adalah (1) secara simultan pengaruh yang signifikan antara variabel bebas (sikap pada iklan online, daya ingat pada iklan online, dan frekuensi klik pada iklan online) terhadap keputusan pembelian Pakaian (2) secara parsial, menunjukkan bahwa vairabel sikap pada iklan online dan daya ingat pada iklan online berpengaruh positif dan signifikan terhadap Keputusan Pembelian Pakaian, kecuali pada variabel frekuensi klik pada iklan online tidak berpengaruh positif dan signifikan terhadap keputusan pembelian Pakaian. (3) secara parsial variabel daya ingat mempunyai pengaruh yang paling besar terhadap keputusan pembelian pakaian

Kata Kunci : sikap, daya ingat, frekuensi klik, keputusan pembelian pakaian
","Hening Ary Putra, Effect of Online Advertising Through Facebook Against Media Apparel Purchase Decision Clothing (Studies in the Faculty of Economics and Business, University Student Trunojoyo). Mentors Bambang Setiyo Pambudi, SE, MM., And Suyono, SE, MSM.
The purpose of this study was to identify variables like stance on online advertising, online advertising recall in, and the frequency of clicks on online advertisements that influence purchasing decisions on the clothes Faculty of Economics and Business, Universitas Trunojoyo Madura either simultaneously or partially.
The hypotheses are: Factors that influence purchasing decisions like stance on online advertising, online advertising recall in, and the frequency of clicks on online advertising significantly influence  in clothing purchase decisions either simultaneously or partially.
This research was conducted with quantitative methods where the population in this study were students of the Faculty of Economics and Business, Universitas Trunojoyo Madura and obtained a sample of 40 respondents taken using accidental sampling method by distributing questionnaires.
Conclusions of this study were (1) simultaneously a significant relationship between the independent variables (attitude on online advertising, online advertising recall in, and the frequency of clicks on online ads) on purchase decisions clothing (2) partial, shows that vairabel attitude on online advertising and online advertising recall the positive and significant impact on purchasing decisions, except the variable frequency clicks on online ads are not positive and significant impact on purchasing decisions. (3) partial variable recall has the greatest influence on purchasing decisions clothing.

Keywords: attitudes, recall, clicks frequency, purchasing decisions clothing
"
PENGARUH ATRIBUT PRODUK TERHADAP KEPUTUSAN PEMBELIAN PRODUK PENYEDAP RASA MASAKO (Studi pada Ibu-ibu Kecamatan Robatal Sampang),Penulis : SUHAR,"Dosen Pembimbing I : Dr.Drs. Ec. H. Muh. Syarif, M.Si","Dosen Pembimbing II :Nirma Kurriwati, SP., M.Si","Abstrak

Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel atribut produk yang mempengaruhi keputusan pembelian produk penyedap rasa Masako baik secara simultan maupun secara parsial serta variabel manakah yang berpengaruh paling besar.
Penelitian ini menggunakan metode kuantitatif dimana populasinya adalah semua ibu-ibu di Kecamatan Robatal Sampang yang pernah membeli dan mengkonsumsi produk penyedap rasa Masako dengan teknik pengambilan sampel menggunakan accidental sampling dan diperoleh sampel sebanyak 50 responden. Hipotesis dalam penelitian ini adalah; (1) variabel atribut produk yang terdiri dari merek, Kemasan, pelabelan dan layanan pelengkap berpengaruh secara simultan terhadap keputusan pembelian produk penyedap rasa Masako. (2) Variabel merek yang berpengaruh paling besar terhadap keputusan pembelian produk penyedap rasa Masako.
Hasil penelitian dengan uji F (simultan) menunjukkan bahwa secara simultan variabel independen yang terdiri dari; merek, kemasan, pelabelan, dan layanan pelengkap mempengaruhi variabel dependen yaitu keputusan pembelian, berarti hipotesis yang pertama bisa diterima (benar). Selanjutnya hasil dari uji t (parsial) membuktikan bahwa secara individu seluruh variabel bebas berpengaruh positif dan signifikan terhadap keputusan pembelian. Dari hasil tersebut dapat diketahui bahwa variabel merek (X1) mempunyai pengaruh paling tinggi sehingga dapat dikatakan hipotesis yang ke dua dapat diterima (benar).
Simpulan dari penelitian ini adalah; yang pertama secara simultan terjadi pengaruh yang signifikan dari seluruh variabel bebas terhadap variabel terikatnya keputusan pembelian. Yang kedua secara parsial, menunjukkan bahwa variabel bebas berpengaruh positif dan signifikan terhadap keputusan pembelian, jadi dari masing-masing variabel bebas secara parsial atau individu mempunyai pengaruh terhadap variabel keputusan pembelian. 

Kata Kunci : Atribut Produk, Keputusan Pembelian.
","Abstract

This research is aimed to identify some variables of product attributes which affect purchasing decisions Masako either simultaneously or partially and which variables that have the greatest effect.
This research applies quantitative methods where the population is all  mothers in Robatal Sampang East Java, who ever buy and consume the products of Masako and the sample collection techniques apply accidental sampling and obtained 50 respondents. The hypothesis of this research are: (1) variable attributes which consist of brand, packaging, labeling product and also complementary services simultaneously affect on purchasing decisions Masako flavoring products. (2) Variables that affect most major brands on purchasing decisions Masako flavoring product.
The results with the F test (simultaneous) showed that simultaneously independent variables consisting of; branding, packaging, labeling product and also complementary services affect the dependent variable is the purchasing decision, meaning that the first hypothesis can be accepted (true). Furthermore, the results of the t test (partial) proved that all independent variables individually positive and significant impact on purchasing decisions. The results of research abouve can be seen that the brand variables (X1) has the highest effect. So, it can be concluded that the second hypothesis can be accepted (true).
The conclusion, there are two evidences that found by researcher: the first is simultaneous, occur significant effect of all independent variables on the dependent variable purchasing decision. The second is partial, indicate that the independent variable positive and significant impact on purchasing decisions. So, each of the independent variables partially or individually have an effect for purchasing decisions.

Keywords: product Attributes, Purchasing Decision
"
